[1/1000]: loss_d: 0.837, loss_g: 3.665
[2/1000]: loss_d: 0.867, loss_g: 2.751
[3/1000]: loss_d: 0.680, loss_g: 2.558
[4/1000]: loss_d: 0.442, loss_g: 3.121
[5/1000]: loss_d: 0.448, loss_g: 3.187
[6/1000]: loss_d: 0.503, loss_g: 3.009
[7/1000]: loss_d: 0.501, loss_g: 3.087
[8/1000]: loss_d: 0.565, loss_g: 2.760
[9/1000]: loss_d: 0.610, loss_g: 2.454
[10/1000]: loss_d: 0.621, loss_g: 2.405
[11/1000]: loss_d: 0.679, loss_g: 2.253
[12/1000]: loss_d: 0.710, loss_g: 2.213
[13/1000]: loss_d: 0.739, loss_g: 2.040
[14/1000]: loss_d: 0.771, loss_g: 1.959
[15/1000]: loss_d: 0.810, loss_g: 1.851
[16/1000]: loss_d: 0.800, loss_g: 1.871
[17/1000]: loss_d: 0.798, loss_g: 1.865
[18/1000]: loss_d: 0.875, loss_g: 1.705
[19/1000]: loss_d: 0.876, loss_g: 1.707
[20/1000]: loss_d: 0.881, loss_g: 1.666
[21/1000]: loss_d: 0.891, loss_g: 1.642
[22/1000]: loss_d: 0.905, loss_g: 1.601
[23/1000]: loss_d: 0.976, loss_g: 1.474
[24/1000]: loss_d: 0.927, loss_g: 1.556
[25/1000]: loss_d: 0.927, loss_g: 1.579
[26/1000]: loss_d: 0.954, loss_g: 1.520
[27/1000]: loss_d: 0.974, loss_g: 1.469
[28/1000]: loss_d: 0.982, loss_g: 1.440
[29/1000]: loss_d: 1.000, loss_g: 1.417
[30/1000]: loss_d: 1.027, loss_g: 1.354
[31/1000]: loss_d: 1.022, loss_g: 1.340
[32/1000]: loss_d: 1.027, loss_g: 1.342
[33/1000]: loss_d: 1.047, loss_g: 1.297
[34/1000]: loss_d: 1.066, loss_g: 1.274
[35/1000]: loss_d: 1.065, loss_g: 1.281
[36/1000]: loss_d: 1.076, loss_g: 1.267
[37/1000]: loss_d: 1.075, loss_g: 1.246
[38/1000]: loss_d: 1.078, loss_g: 1.231
[39/1000]: loss_d: 1.092, loss_g: 1.230
[40/1000]: loss_d: 1.092, loss_g: 1.227
[41/1000]: loss_d: 1.104, loss_g: 1.202
[42/1000]: loss_d: 1.136, loss_g: 1.134
[43/1000]: loss_d: 1.141, loss_g: 1.139
[44/1000]: loss_d: 1.144, loss_g: 1.139
[45/1000]: loss_d: 1.144, loss_g: 1.133
[46/1000]: loss_d: 1.148, loss_g: 1.107
[47/1000]: loss_d: 1.167, loss_g: 1.077
[49/1000]: loss_d: 1.162, loss_g: 1.084
[50/1000]: loss_d: 1.161, loss_g: 1.093
[51/1000]: loss_d: 1.156, loss_g: 1.103
[52/1000]: loss_d: 1.166, loss_g: 1.091
[53/1000]: loss_d: 1.164, loss_g: 1.088
[54/1000]: loss_d: 1.170, loss_g: 1.078
[55/1000]: loss_d: 1.180, loss_g: 1.059
[56/1000]: loss_d: 1.182, loss_g: 1.063
[57/1000]: loss_d: 1.182, loss_g: 1.050
[58/1000]: loss_d: 1.165, loss_g: 1.086
[59/1000]: loss_d: 1.180, loss_g: 1.058
[60/1000]: loss_d: 1.178, loss_g: 1.056
[61/1000]: loss_d: 1.189, loss_g: 1.041
[62/1000]: loss_d: 1.193, loss_g: 1.036
[63/1000]: loss_d: 1.203, loss_g: 1.022
[64/1000]: loss_d: 1.217, loss_g: 1.003
[65/1000]: loss_d: 1.206, loss_g: 1.004
[66/1000]: loss_d: 1.215, loss_g: 0.996
[67/1000]: loss_d: 1.210, loss_g: 1.019
[68/1000]: loss_d: 1.215, loss_g: 1.005
[69/1000]: loss_d: 1.218, loss_g: 0.987
[70/1000]: loss_d: 1.221, loss_g: 0.994
[71/1000]: loss_d: 1.217, loss_g: 1.001
[72/1000]: loss_d: 1.211, loss_g: 1.007
[73/1000]: loss_d: 1.217, loss_g: 0.996
[74/1000]: loss_d: 1.230, loss_g: 0.979
[75/1000]: loss_d: 1.227, loss_g: 0.975
[76/1000]: loss_d: 1.234, loss_g: 0.976
[77/1000]: loss_d: 1.230, loss_g: 0.992
[78/1000]: loss_d: 1.225, loss_g: 0.978
[79/1000]: loss_d: 1.237, loss_g: 0.952
[80/1000]: loss_d: 1.237, loss_g: 0.959
[81/1000]: loss_d: 1.234, loss_g: 0.970
[82/1000]: loss_d: 1.238, loss_g: 0.961
[83/1000]: loss_d: 1.246, loss_g: 0.958
[84/1000]: loss_d: 1.241, loss_g: 0.950
